(14, 'A wireless perimeter protection and intrusion detection system', '2010', '10.1109/CCST.2010.5678669')
(28, 'New development in portable sensor allows low-cost components to be left behind (disposable)', '2003', '10.1109/CCST.2003.1297539')
(35, '33rd annual Carnahan conference on security technology', '2000', '10.1109/MAES.2000.831189')
(40, 'News From International Carnahan Conference On Security Technology', '1998', '10.1109/MAES.1998.683728')
(136, 'An agent-based Bayesian forecasting model for enhanced network security', '2001', '10.1109/ECBS.2001.922429')
(147, 'Packet analysis using packet filtering and traffic monitoring techniques', '2010', '10.1109/ICCAIE.2010.5735088')
(149, 'Combined performance and risk analysis for border management applications', '2010', '10.1109/DSN.2010.5544292')
(154, 'Security log time synchronization for high-availability systems', '2003', '10.1109/INDIN.2003.1300270')
(169, 'A survey of security issues in mobile ad hoc and sensor networks', '2005', '10.1109/COMST.2005.1593277')
(176, 'Attacking DDoS at the source', '2002', '10.1109/ICNP.2002.1181418')
(190, 'USim: a user behavior simulation framework for training and testing IDSes in GUI based systems', '2006', '10.1109/ANSS.2006.45')
(204, 'Heterogeneous Fusion of IDS Alerts for Detecting DOS Attacks', '2015', '10.1109/ICCUBEA.2015.35')
(226, 'An investigation of a compromised host on a honeynet being used to increase the security of a large enterprise network', '2004', '10.1109/IAW.2004.1437791')
(245, 'Alert Correlation Model Design Based on Self-regulate', '2010', '10.1109/MMIT.2010.60')
(272, 'A selection criteria for intrusion detection systems', '1998', '10.1109/CSAC.1998.738648')
(323, 'Detecting SYN flooding attacks', '2002', '10.1109/INFCOM.2002.1019404')
(357, 'Packet sampling for worm and botnet detection in TCP connections', '2010', '10.1109/NOMS.2010.5488473')
(386, "TPaR: Place and Route Tools for the Dynamic Reconfiguration of the FPGA's Interconnect Network", '2014', '10.1109/TCAD.2013.2291659')
(447, 'An Efficient Method for Identifying IDS Agent Nodes by Discovering Compromised Nodes in MANET', '2009', '10.1109/ICCEE.2009.74')
(452, 'Slow port scanning detection', '2011', '10.1109/ISIAS.2011.6122824')
(460, 'Device-transparent network-layer handoff for micro-mobility', '2009', '10.1109/MASCOT.2009.5366648')
(461, 'FireCol: A Collaborative Protection Network for the Detection of Flooding DDoS Attacks', '2012', '10.1109/TNET.2012.2194508')
(463, 'Multi-level alert clustering for intrusion detection sensor data', '2005', '10.1109/NAFIPS.2005.1548632')
(474, 'Taxonomy of statistical based anomaly detection techniques for intrusion detection', '2005', '10.1109/ICET.2005.1558893')
(481, '2012 International Conference on Devices, Circuits and Systems (ICDCS)', '2012', '10.1109/ICDCSyst.2012.6188784')
(485, 'Architectures for intrusion tolerant database systems', '2003', '10.1109/FITS.2003.1264924')
(533, 'Detecting protected layer-3 rogue APs', '2007', '10.1109/BROADNETS.2007.4550468')
(537, 'Matching TCP packets and its application to the detection of long connection chains on the Internet', '2005', '10.1109/AINA.2005.240')
(541, 'Mining information assurance data with a hybrid intelligence/multi-agent system', '2015', '10.1109/ICIS.2015.7166564')
(578, 'Applying multivariate data analysis to identify key parameters of bi-directional attack flows', '2015', '10.1109/ACDT.2015.7111611')
(589, 'A Mechanism for Detecting and Responding to Misbehaving Nodes in Wireless Networks', '2007', '10.1109/SAHCN.2007.4292881')
(593, 'Clustering of Snort alerts to identify patterns and reduce analyst workload', '2012', '10.1109/MILCOM.2012.6415777')
(607, 'Security as a Service Model for Cloud Environment', '2014', '10.1109/TNSM.2014.041614.120394')
(641, 'Filtering Spam Email Based on Retry Patterns', '2007', '10.1109/ICC.2007.254')
(670, 'NetFlow based intrusion detection system', '2004', '10.1109/ICNSC.2004.1297037')
(682, 'Influence of Software-Based NIDS on FEC-Protected Uncompressed Video Transmissions', '2010', '10.1109/INTERNET.2010.27')
(700, 'Sessions', '2012', '')
(737, 'Application of Artificial Neural Networks Techniques to Computer Worm Detection', '2006', '10.1109/IJCNN.2006.247059')
(800, 'A dynamic honeypot design for intrusion detection', '2004', '10.1109/PERSER.2004.1356776')
(819, 'Resilient self-organizing overlay networks for security update delivery', '2004', '10.1109/JSAC.2003.818808')
(827, 'Backtracking Algorithmic Complexity Attacks against a NIDS', '2006', '10.1109/ACSAC.2006.17')
(847, 'Using Search Methods for Selecting and Combining Software Sensors to Improve Fault Detection in Autonomic Systems', '2010', '10.1109/SSBSE.2010.23')
(851, 'Cossack: coordinated suppression of simultaneous attacks', '2003', '10.1109/DISCEX.2003.1194868')
