"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&ar=6996640,7140344,5438108,5963289,7196515,5983282,6985604,5453687,5209819,5456628,6973823,5231868,5072103,5369477,5473507,5474764,7011006,5452061,7312172,5403427,5136261,6766353,6164365,6137122,5307046,4918857,7113224,6423689,5274916,6320109,6405624,7033812,5374752,6567003,5628755,6406079,5542665,6449834,7180512,6405746,6495288,7118081,6089060,5978790,5485558,5556740,7155011,6418760,6251362,6151272,5401474,6466104,6415599,5170599,5280069,5554839,5543917,5623380,5683321,6754931,6149943,7013133,6122808,5741696,7280815,6220971,5541152,5169030,7141237,5358813,4771925,6681625,5362097,5483812,5226620,6006209,6057762,6968979,6736756,5972093,6900887,5473884,5376342,6821480,7210322,5136640,6816584,6997530,5689069,6164870,6121331,5640375,6644096,5460823,6208721,5620179,6848074,6122784,6568370,6201871",2015/11/03 10:05:15
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Network security for Hybrid Cloud","Donadio, P.; Fioccola, G.B.; Canonico, R.; Ventre, G.","Alcatel-Lucent Italia, Milan, Italy","Euro Med Telco Conference (EMTC), 2014","20141229","2014","","","1","6","Cloud computing has enabled elastic and transparent access to distributed services, without investing in new infrastructures. In the last few years, Cloud computing has grown from being a promising business concept to one of the fast growing segments of the IT industry. Despite of all the hype surrounding the Cloud, enterprise customers are still reluctant to deploy their business in the Cloud. Security is one of the major issues which reduces the growth of Cloud computing and complications with data privacy and data protection continue to plague the market. In this paper, we propose a solution for Hybrid Cloud security, focusing on a Virtual Intrusion Detection System (V-IDS). We present a new architecture that considers the basic principles of the Cloud computing, virtualization and GMPLS Control Plane and applies them to the intrusion detection systems, in order to protect Cloud networks characterized by constantly changing of the underlying infrastructure and physical topology. Based on the defined architecture, we have implemented a prototype of Cloud based IDS that validates our thesis. The prototype is realized though the integration of two open-source technologies: OpenStack and DRAGON (Dynamic Resource Allocation via GMPLS Optical Networks).","","978-8-8872-3721-4","","10.1109/EMTC.2014.6996640","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6996640","Cloud Computing;Network Management;Path Computation Element;Secure Networking","Cloud computing;Computer architecture;Intrusion detection;Monitoring;Prototypes;Real-time systems","cloud computing;computer network security;data privacy","DRAGON;Dynamic Resource Allocation via GMPLS Optical Networks;GMPLS control plane;IT industry;OpenStack;V-IDS;cloud based IDS;cloud computing;cloud network security;data privacy;data protection;distributed services;enterprise customers;hybrid cloud security;open-source technologies;transparent access;virtual intrusion detection system;virtualization","","0","","25","","","12-15 Nov. 2014","","IEEE","IEEE Conference Publications"
"Detection of sinkhole attacks for supporting secure routing on 6LoWPAN for Internet of Things","Cervantes, C.; Poplade, D.; Nogueira, M.; Santos, A.","NR2 - Inf. Dept., UFPR, Brazil","Integrated Network Management (IM), 2015 IFIP/IEEE International Symposium on","20150702","2015","","","606","611","The Internet of Things (IoT) networks are vulnerable to various kinds of attacks, being the sinkhole attack one of the most destructive since it prevents communication among network devices. In general, existing solutions are not effective to provide protection and security against attacks sinkhole on IoT, and they also introduce high consumption of resources de memory, storage and processing. Further, they do not consider the impact of device mobility, which in essential in urban scenarios, like smart cities. This paper proposes an intrusion detection system, called INTI (Intrusion detection of SiNkhole attacks on 6LoWPAN for InterneT of ThIngs), to identify sinkhole attacks on the routing services in IoT. Moreover, INTI aims to mitigate adverse effects found in IDS that disturb its performance, like false positive and negative, as well as the high resource cost. The system combines watchdog, reputation and trust strategies for detection of attackers by analyzing the behavior of devices. Results show the INTI performance and its effectiveness in terms of attack detection rate, number of false positives and false negatives.","","","","10.1109/INM.2015.7140344","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7140344","","Base stations;Internet of things;Mathematical model;Monitoring;Routing;Security;Wireless sensor networks","Internet;Internet of Things;security of data","6LoWPAN;INTI;Internet of Things;IoT networks;intrusion detection system;secure routing;sinkhole attacks","","0","","16","","","11-15 May 2015","","IEEE","IEEE Conference Publications"
"A Semi-Markov Survivability Evaluation Model for Intrusion Tolerant Database Systems","Wang, Alex Hai; Su Yan; Peng Liu","Coll. of Inf. Sci. & Technol., Pennsylvania State Univ., Dunmore, PA, USA","Availability, Reliability, and Security, 2010. ARES '10 International Conference on","20100325","2010","","","104","111","Survivability modeling and evaluation have gained increasing importance. Most existing models assume that the distributions for transitions between states are exponential. However, this assumption does not hold in many real cases. To address this problem, we propose a novel semi-Markov survivability evaluation model, which allows the transitions between states to follow nonexponential distributions. Novel quantitative measures are also proposed to characterize the capability of a resilient system in surviving intrusions. Model validation, which is possibly the most important step in the life cycle of model development, is largely overlooked in previous research. In this paper, a real intrusion tolerant database system ITDB is implemented to validate the proposed state-space models. Empirical experiments show that the semi-Markov model predicts the system behaviors with high accuracy. Furthermore, in this paper we evaluate the impact of intrinsic system deficiencies and attack behaviors on the survivability of intrusion tolerant database systems.","","978-1-4244-5879-0","","10.1109/ARES.2010.90","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5438108","Database Security;Intrusion Tolerance;Modeling and Evaluation;Semi-Markov Process;Survivability","Availability;Benchmark testing;Data security;Database systems;Degradation;Educational institutions;Humans;Information security;Predictive models","Markov processes;database management systems;reliability theory;security of data;state-space methods","ITDB;intrinsic system deficiencies;intrusion tolerant database systems;nonexponential distributions;novel quantitative measures;resilient system;semi Markov survivability evaluation model;state-space models;system behaviors","","2","","19","","","15-18 Feb. 2010","","IEEE","IEEE Conference Publications"
"StriD²FA: Scalable Regular Expression Matching for Deep Packet Inspection","Xiaofei Wang; Junchen Jiang; Yi Tang; Bin Liu; Xiaojun Wang","Sch. of Electron. Eng., Dublin City Univ., Dublin, Ireland","Communications (ICC), 2011 IEEE International Conference on","20110728","2011","","","1","5","Deep packet inspection (DPI) has become one of the key components of a Network Intrusion Detection System (NIDS) and it compares packet content to a set of rules written in regular expression. The need to keep up with ever-increasing line speed has forced NIDS designers to move to hardware or high-speed memory where memory resources are limited. In this paper, we present LBM, a novel accelerating scheme for regular expression matching which converts the original byte stream into much shorter integer stream and then matches it with a variant of DFA, called StriD<sup>2</sup>FA. In the instance of LBM that we realize, 10-15 speedup is reasonable while the memory is much smaller than traditional DFA.","1550-3607","978-1-61284-232-5","978-1-61284-231-8","10.1109/icc.2011.5963289","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5963289","","Acceleration;Converters;Doped fiber amplifiers;Inspection;Memory management;Throughput;Transforms","computer network security","deep packet inspection;network intrusion detection system;scalable regular expression matching","","0","","19","","","5-9 June 2011","","IEEE","IEEE Conference Publications"
"Language Classes for Cloud Service Certification Systems","Stephanow, P.; Gall, M.","Fraunhofer Inst. for Appl. & Integrated Security (AISEC), Munich, Germany","Services (SERVICES), 2015 IEEE World Congress on","20150817","2015","","","127","134","Certification of cloud services aims at increasing the trust of customers towards cloud services and providing comparability between cloud services. Applying the concept of certification to cloud services requires systems which continuously detect ongoing changes of the service and assess their impact on customer requirements. In this paper, we propose eight language classes for cloud service certification systems to facilitate research in design and implementation of these systems. To that end, we draw on language classes developed for signature-based intrusion detection systems and apply them to cloud service certification systems.","","978-1-4673-7274-9","","10.1109/SERVICES.2015.27","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7196515","certification;cloud services;languages","Cloud computing;Correlation;Intrusion detection;Law;Monitoring","Web services;certification;cloud computing;security of data","certification concept;cloud service certification systems;cloud services comparability;customer requirements;customer trust;language classes;signature-based intrusion detection systems","","0","","38","","","June 27 2015-July 2 2015","","IEEE","IEEE Conference Publications"
"Vulnerability assessment of AODV and SAODV routing protocols against network routing attacks and performance comparisons","Maan, F.; Abbas, Y.; Mazhar, N.","Nat. Univ. of Sci. & Technol. (NUST), Islamabad, Pakistan","Wireless Advanced (WiAd), 2011","20110811","2011","","","36","41","Secure routing is an important issue in MANETs. Routing protocols can have vulnerabilities that may be exploited by malicious nodes to disrupt the normal routing behavior. In fact, vulnerabilities may even exist in secure versions of the routing protocols, which makes secure routing a real challenge to achieve. In this paper, we present vulnerability analysis of AODV and Secure AODV (SAODV) routing protocols against routing attacks. SAODV is a secure version of the basic AODV protocol that uses asymmetric key cryptography. We simulate a number of routing attacks to show that SAODV can counter most attacks that are successful against AODV. However, SAODV has vulnerabilities of its own that allow replay attacks to succeed. We, therefore, propose a new security scheme, Robust SAODV (R-SAODV), which incorporates temporal time stamping of SAODV extensions. Temporal time stamping addresses the issue of replay attacks by ensuring the freshness of the exchanged control messages. Our simulation results in ns-2 indicate that our proposed security scheme, R-SAODV, is able to achieve similar performance as SAODV. This implies that we have achieved added security with less additional cost to the system.","","978-1-4577-0110-8","","10.1109/WiAd.2011.5983282","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5983282","Performance;SAODV;routing attacks on AODV","Ad hoc networks;IP networks;Mobile computing;Routing;Routing protocols;Security","cryptographic protocols;mobile ad hoc networks;routing protocols;telecommunication security","AODV routing protocols;MANET;SAODV routing protocols;asymmetric key cryptography;exchanged control messages;network routing attacks;secure routing;temporal time stamping;vulnerability assessment","","1","","18","","","20-22 June 2011","","IEEE","IEEE Conference Publications"
"An Encryption Scheme Using Chaotic Map and Genetic Operations for Wireless Sensor Networks","Biswas, K.; Muthukkumarasamy, V.; Singh, K.","Sch. of Inf. & Commun. Technol., Griffith Univ., Gold Coast, QLD, Australia","Sensors Journal, IEEE","20150326","2015","15","5","2801","2809","Over the past decade, the application domain of wireless sensor networks has expanded steadily, ranging from environmental management to industry control, and from structural health monitoring to strategic surveillance. With the proliferation of sensor networks at home, work place, and beyond, securing data in the network has become a challenge. A number of security mechanisms have been proposed for sensor networks to provide data confidentiality: 1) advanced encryption system; 2) KATAN; 3) LED; and 4) TWINE. However, these schemes have drawbacks, including security vulnerabilities, need for hardware-based implementation, and higher computational complexity. To address these limitations, we propose a lightweight block cipher based on chaotic map and genetic operations. The proposed cryptographic scheme employs elliptic curve points to verify the communicating nodes and as one of the chaotic map parameters to generate the pseudorandom bit sequence. This sequence is used in XOR, mutation, and crossover operations in order to encrypt the data blocks. The experimental results based on Mica2 sensor mote show that the proposed encryption scheme is nine times faster than the LED protocol and two times faster than the TWINE protocol. We have also performed a number of statistical tests and cryptanalytic attacks to evaluate the security strength of the algorithm and found the cipher provably secure.","1530-437X","","","10.1109/JSEN.2014.2380816","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6985604","Chaotic map;Crossover;Data Encryption;Elliptic curve;Mutation;Pseudorandom bit sequence generator;Wireless Sensor Network;Wireless sensor network;chaotic map;crossover;data encryption;elliptic curve;mutation;pseudorandom bit sequence generator","Ciphers;Elliptic curves;Encryption;Sensors;Wireless sensor networks","chaotic communication;computational complexity;cryptographic protocols;public key cryptography;random sequences;security of data;statistical analysis;telecommunication security;wireless sensor networks","KATAN;LED protocol;Mica2 sensor mote;TWINE protocol;XOR;chaotic map parameters;computational complexity;cryptanalytic attacks;cryptographic scheme;data blocks;elliptic curve points;encryption scheme;encryption system;environmental management;genetic operations;industry control;lightweight block cipher;pseudorandom bit sequence;security mechanisms;security strength;statistical tests;strategic surveillance;structural health monitoring;wireless sensor networks","","1","","31","","2014-12-18","May 2015","","IEEE","IEEE Journals & Magazines"
"An Ontology for Vulnerability Lifecycle","Wita, R.; Jiamnapanon, N.; Teng-amnuay, Y.","Center of Excellence in Software Eng., Chulalongkorn Univ., Bangkok, Thailand","Intelligent Information Technology and Security Informatics (IITSI), 2010 Third International Symposium on","20100422","2010","","","553","557","System vulnerability is a major cause of failures in complex systems. Relevancy analysis and ranking of vulnerability are important for system administrative work. Our research roadmap is to define a framework for prioritizing vulnerabilities based on relevancy gleaned on online information. In order to do that a systematic representation of knowledge is needed. In this paper, the relationship between lifecycle and characteristic of vulnerability-related information are defined and used in building the Vulnerability Lifecycle Ontology (VLO). VLO is further enriched by standardized naming scheme, vulnerability database, taxonomy, and related documents from the Internet. VLO will be used as the knowledge base in the vulnerability relevancy framework.","","978-1-4244-6730-3","978-1-4244-6743-3","10.1109/IITSI.2010.141","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5453687","CVE;Risk prioritization;Security management;Security related ontology;Vulnerability lifecycle","Data security;Databases;Informatics;Information analysis;Information security;Information technology;Internet;Ontologies;Software engineering;Taxonomy","ontologies (artificial intelligence);security of data;software maintenance","Internet;complex systems failures;online information;relevancy analysis;standardized naming scheme;system vulnerability;systematic knowledge representation;taxonomy;vulnerability database;vulnerability lifecycle ontology","","0","","19","","","2-4 April 2010","","IEEE","IEEE Conference Publications"
"Fast Algorithms for Multi-stream Content Detection","Yuping Huang; Sanfeng Chen","Dept. of Aeronaut. & Mech. Eng., NanChang Hangkong Univ., Nanchang, China","Electronic Commerce and Security, 2009. ISECS '09. Second International Symposium on","20091023","2009","2","","34","38","High-speed packet content inspection and filtering devices rely on a fast multi-pattern matching algorithm which is used to detect predefined keywords or signatures in the packets. In TCP, a communication data stream is split into packets. Therefore, a target pattern may span multiple packets. Such fragmented pattern cannot be discovered by a per-packet scan. This is a serious problem in applications such as NIDS that require a complete scan. To avoid the problem, it is necessary to scan TCP streams. Stream-level parallelism is not a substantial solution because bandwidth depends on the number of active TCP streams. To scan each stream separately using one matching unit, the match states must be swapped appropriately. Another problem is, as parts of network infrastructure, the inspection units should support the function of QoS. In this paper, we proposed a multi-pattern matching automaton DSC-AC for high speed multi-stream packet scanning. We given out the construction of DSC-AC and optimized it with optimal and two binary searching tree and bit-map AC. Analysis and test showed that the optimized DSC-AC is capable of lightweight switching , enables a little state saving between streams and support the Diff-Serv Qos model. Furthermore, our method also enables easy implementation of multi-stream scanners with high throughput.","","978-0-7695-3643-9","","10.1109/ISECS.2009.144","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5209819","Automaton;High-speed network;Multi-stream Content Detection;Pattern Matching","Automata;Bandwidth;Filtering algorithms;Information technology;Inspection;Intrusion detection;Matched filters;Pattern matching;Testing;Throughput","DiffServ networks;pattern matching;quality of service;transport protocols","Diff-Serv;QoS;TCP;binary searching tree;bit-map AC;multipattern matching;multistream content detection;packet content inspection;packet scanning","","0","","12","","","22-24 May 2009","","IEEE","IEEE Conference Publications"
"A new network intrusion detection identification model research","Wen Jie Tian; Ji Cheng Liu","Autom. Inst., Beijing Union Univ., Beijing, China","Informatics in Control, Automation and Robotics (CAR), 2010 2nd International Asia Conference on","20100429","2010","2","","9","12","Intrusion Detection Systems (IDS) are increasingly a key part of systems defense. Various approaches to Intrusion Detection are currently being used, but they are relatively in effective. Recently applying Artificial Intelligence, machine learning and data mining techniques to IDS are increasing. Artificial Intelligence plays a driving role in security services. An intrusion detection method based on neural network and particle swarm optimization algorithm (PSOA) is presented in this paper. The novel structure model has higher accuracy and faster convergence speed. With the ability of strong self-learning and faster convergence, this intrusion detection method can detect various intrusion behaviors rapidly and effectively by learning the typical intrusion characteristic information. Utilizing the character that rough set can keep the discernability of original dataset after reduction, the reduces of the original dataset are calculated and used to train neural network, which increase the detection accuracy. We apply this technique on KDD99 data set and get satisfactory results. The experimental result shows that this intrusion detection method is feasible and effective.","1948-3414","978-1-4244-5192-0","978-1-4244-5194-4","10.1109/CAR.2010.5456628","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5456628","intrusion detection;neural network;particle swarm optimization algorithm;reduction;rough set","Artificial intelligence;Artificial neural networks;Convergence;Data mining;Data security;Intrusion detection;Machine learning;Machine learning algorithms;Neural networks;Particle swarm optimization","computer network security;data mining;learning (artificial intelligence);neural nets;particle swarm optimisation","IDS;PSOA;artificial intelligence;data mining techniques;machine learning;network intrusion detection identification model research;neural network;original dataset;particle swarm optimization algorithm","","0","","6","","","6-7 March 2010","","IEEE","IEEE Conference Publications"
