"http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&ar=7036781,5497832,5421839,6735407,6736855,6884906,4682299,6725331,5678024,5654816,6686354,4599219,1666486,4736909,5138016,6498376,1541543,7253748,5635232,6016798,5367708,5671039,1625689,6040856,1429933,6161622,4021111,1210028,4420221,6655707,6756016,4976790,797905,6201922,5633852,5721046,7148345,1691928,6769676,1659471,6246102,7166110,7065579,4086884,6632070,4808902,5234325,5474773,5582691,5770397,1194965,5360137,5541362,5474252,1644158,4795984,6024113,4554452,5665189,6926557,5513939,6179178,5679451,4725663,4021241,4579536,4287780,1435744,5402616,4344661,5633851,1614797,5376626,6011481,7170604,5305874,4288876,1547612,4529460,4699962,7208973,4663387,4675279,5438075,4289875,6770189,7288796,1215651,1226838,5228172,6893417,5716416,1687642,6075142,1684924,4624490,4288867,4344507,5260848,5169029",2015/11/20 16:22:38
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Detection and prevention from misbehaving intruders in vehicular networks","Sedjelmaci, H.; Bouali, T.; Senouci, S.M.","DRIVE Lab., Univ. of Bourgogne, Nevers, France","Global Communications Conference (GLOBECOM), 2014 IEEE","20150212","2014","","","39","44","In this paper, we design and implement a new intrusion detection and prevention schema for vehicular networks. It has the ability to detect and predict with a high accuracy a future malicious behavior of an attacker. This is unlike the current detection schémas, where there is no prevention technique since they aim to detect only current attackers that occur in the network. We used game theory concept to predict the future behavior of the monitored vehicle and categorize it into the appropriate list (White, White & Gray, Gray, and Revocation_Black) according to its predicted attack severity. In this paper, our aim is to prevent from the most dangerous attack that targets a vehicular network, which is false alert's generation attack. Simulation results show that our intrusion detection and prevention schema exhibits a high detection rate and generates a low false positive rate. In addition, it requires a low overhead to achieve a high-level security.","","","","10.1109/GLOCOM.2014.7036781","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7036781","Attacks;Game theory;Intrusion detection and prevention;Vehicular networks","Accuracy;Game theory;Games;Intrusion detection;Monitoring;Roads;Vehicles","game theory;security of data;telecommunication security;vehicular ad hoc networks","false alert generation attack;game theory;intrusion detection schema;intrusion prevention schema;malicious attacker behavior;misbehaving intruder;security;vehicular network","","0","","12","","","8-12 Dec. 2014","","IEEE","IEEE Conference Publications"
"CUgrep: A GPU-based high performance multi-string matching system","Jiangfeng Peng; Hu Chen","Sch. of Comput. Sci. & Eng., South China Univ. of Technol., Guangzhou, China","Future Computer and Communication (ICFCC), 2010 2nd International Conference on","20100628","2010","1","","V1-77","V1-81","String matching is one of the oldest and most pervasive problems in computer science. Nowadays applications related to string matching can be found everywhere. Meanwhile, the heterogeneous processing of CPU+GPU has become the popular parallel platform in solving high performance computing applications. This paper proposes a GPU-based multi-string matching algorithm, CUgrep, and uses this algorithm to implement the webpage matching system, which is almost 40 times peak performance to the original BNDM algorithm used in Nrgrep.","","978-1-4244-5821-9","","10.1109/ICFCC.2010.5497832","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5497832","BNDM;CUDA;GPU;parallel multi-string matching;webpage matching system","Application software;Computational biology;Computer science;Engines;High performance computing;Intrusion detection;Jacobian matrices;Pattern matching;Performance analysis;Software engineering","computer graphic equipment;coprocessors;parallel processing;string matching","BNDM algorithm;CPU+GPU;CUgrep;Nrgrep;Webpage matching system;computer science;high performance multistring matching system;parallel platform;pervasive problems","","1","","14","","","21-24 May 2010","","IEEE","IEEE Conference Publications"
"Demonstration Experiments Towards Practical IP Traceback on the Internet","Wakasa, K.; Takemori, K.; Kai, T.; Hazeyama, H.","Japan Data Commun. Assoc., Tokyo, Japan","Consumer Communications and Networking Conference (CCNC), 2010 7th IEEE","20100225","2010","","","1","5","Recently, Distributed Denial of Service (DDoS) attacks have become a critical issue on the Internet. Theoretical approaches into traceback systems to counter these attacks have been actively researched. However, with no instances of actual application of traceback systems on the Internet, such a response has yet to achieve widespread adoption. This is because multiple autonomous systems (ASs) need to be linked to carry out end-to-end tracking, and this poses a number of issues, including (i) the operational and practical environmental constraints of installing equipment at a variety of Internet Exchange Points (IXPs), (ii) the need to establish operational procedures, and (iii) establishing the monitoring points needed to conduct the traceback. Given these factors, with the aim of achieving the widespread adoption of traceback systems on the Internet in Japan, in this paper we introduce the challenges posed by installing equipment at multiple ASs and report on tracking experiments conducted in response to simulated attacks. Specifically, in terms of (i) environmental constraints, this involved summarizing the size and access restrictions of installed equipment, and in terms of (ii) establishing operational procedures, this involved summarizing the role of operators from the outbreak of an incident to conducting traces and taking countermeasures. Additionally, we investigated the connection status of ASs in Japan to calculate (iii) the number of ASs in which equipment must be installed to satisfy the adoption rate required to carry out tracking.","","978-1-4244-5175-3","978-1-4244-5176-0","10.1109/CCNC.2010.5421839","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5421839","","Communications Society;Computer crime;Counting circuits;Data communication;Information retrieval;Laboratories;Monitoring;Research and development;Spine;Web and internet services","IP networks;Internet;computer network management;computer network security","Internet Exchange Points;distributed denial of service attacks;environmental constraints;equipment installation;multiple autonomous systems;practical IP traceback","","0","","13","","","9-12 Jan. 2010","","IEEE","IEEE Conference Publications"
"Community Cloud: Concept, Model, Attacks and Solution","Nicanfar, H.; Qiang Liu; TalebiFard, P.; Wei Cai; Leung, V.C.M.","","Cloud Computing Technology and Science (CloudCom), 2013 IEEE 5th International Conference on","20140306","2013","2","","126","131","In this paper, we propose a new model of community cloud (ComC) interaction that is based on the demand of tenants and propose an intrusion detection mechanism for the proposed model. ComC is a solution that is more secure than the public cloud, and less costly than the private cloud. We argue that our proposed model of the ComC will be more beneficial to consumers as well as providers. Our evaluation shows the efficiency of the proposed model from cost and operation point of views. In addition, our analysis shows that our proposed IDS can make the ComC a safe environment and can guarantee the security and privacy of the customers.","","","","10.1109/CloudCom.2013.163","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6735407","Community Cloud;IDS;Privacy;Security","Analytical models;Business;Cloud computing;Communities;Databases;Privacy;Security","cloud computing;security of data","ComC interaction;IDS;community cloud;customers rivacy;customers security;intrusion detection mechanism;private cloud;public cloud;safe environment","","0","","20","","","2-5 Dec. 2013","","IEEE","IEEE Conference Publications"
"Optimal index policies for quickest localization of anomaly in cyber networks","Cohen, K.; Qing Zhao; Swami, A.","Dept. of Electr. & Comput. Eng., Univ. of California, Davis, Davis, CA, USA","Global Conference on Signal and Information Processing (GlobalSIP), 2013 IEEE","20140213","2013","","","221","224","We consider the problem of quickest localization of anomaly in a resource-constrained cyber network consisting of multiple components. Due to resource constraints, only one component can be probed at each time. The observations are random realizations drawn from two different distributions depending on whether the component is normal or anomalous. Components are assigned priorities. Components with higher priorities in an abnormal state should be fixed before components with lower priorities to reduce the overall damage to the network. The objective is to minimize the expected weighted sum of completion times of abnormal components subject to error probability constraints. We consider two different anomaly models: the independent model in which each component can be abnormal independent of other components, and the exclusive model in which there is one and only one abnormal component. We develop index policies under both models. Optimal low-complexity algorithms are derived for the simple hypotheses case, where the distribution is completely known under both hypotheses. Asymptotically (as the error probability approaches zero) optimal low-complexity algorithms are derived for the composite hypotheses case, where there is uncertainty in the distribution parameters. Simulation results then illustrate the performance of the algorithms.","","","","10.1109/GlobalSIP.2013.6736855","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6736855","Anomaly detection;intrusion detection;sequential hypothesis testing","Approximation methods;Error probability;Indexes;Intrusion detection;Optimization;Testing;Uncertainty","computer network security;minimisation;probability;statistical testing","abnormal components;abnormal independent component;abnormal state;anomalous component;anomaly localization;asymptotically optimal low-complexity algorithms;component priorities;composite hypothesis;distribution parameter uncertainty;distribution parameters;error probability constraints;expected weighted completion time sum minimization;independent model;normal component;optimal index policies;overall network damage reduction;resource-constrained cyber network","","4","","24","","","3-5 Dec. 2013","","IEEE","IEEE Conference Publications"
"A two tier defense against SQL injection","Duhan, N.; Saneja, B.","Dept. of CSE, Kurukshetra Univ., Kurukshetra, India","Signal Propagation and Computer Technology (ICSPCT), 2014 International Conference on","20140828","2014","","","415","420","In recent years with increase in ubiquity and popularity of web based applications, information systems are frequently migrated to the web, which will jeopardize security and privacy of the users. One of the most easiest and hazardous security attacks confronted by these systems is SQL injection attacks (SQLIAs). SQL injection attack is a method that can insert any malevolent query into the original query statement. In this paper, we demonstrate an efficient approach for Securing Web Application from SQL injection, which incorporates the combination of client side validation and identity based cryptography. To affirm the technique we examine it on some prototype web applications generated by web developer tools which ensure that our approach is secure and efficient and also hypothesis testing is done to validate the results.","","978-1-4799-3139-2","","10.1109/ICSPCT.2014.6884906","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6884906","Injection attack;SQL Injection;SQL Query;SQLIAs;Web application","Cryptography;Educational institutions;IP networks;Information filters;Libraries","Internet;SQL;client-server systems;cryptography;data privacy","SQL injection attacks;Web based applications;Web developer tools;client side validation;hazardous security attacks;identity based cryptography;information systems;malevolent query;original query statement;two-tier defense;user privacy;user security","","0","","17","","","12-13 July 2014","","IEEE","IEEE Conference Publications"
"A Resource-Efficient IP Traceback Technique for Mobile Ad-hoc Networks Based on Time-Tagged Bloom Filter","Il Yong Kim; Ki Chang Kim","Sch. of Inf. & Commun. Eng.Eng., Inha Univ., Incheon","Convergence and Hybrid Information Technology, 2008. ICCIT '08. Third International Conference on","20081118","2008","2","","549","554","IP traceback in MANET (mobile ad-hoc network) is more difficult than in traditional wired network because of the dynamically-changing topologies and limitation in resource. Researches in IP traceback for MANET largely follow the similar approaches as in the wired network and are having difficulties in overcoming the above mentioned topology and resource limitation problem. We suggest to cope with the topology-changing problem with a noble logging technique based on bloom filter and to cope with the resource problem with time-tagging of the bloom filter entry. The technique has been tested through extensive simulation, and the result shows we can successfully track down the attacker with a reasonable size of bloom filter as long as the collision rate in the filter is kept down under 0.07%.","","978-0-7695-3407-7","","10.1109/ICCIT.2008.292","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4682299","Clustering;MANET;Security;Traceback","Ad hoc networks;Bandwidth;Clustering algorithms;Computer crime;Information filtering;Information filters;Mobile ad hoc networks;Network topology;Routing;Testing","IP networks;ad hoc networks;filtering theory;mobile radio;telecommunication network topology;telecommunication security","mobile ad-hoc networks;noble logging technique;resource limitation problem;resource-efficient IP traceback technique;security;time-tagged bloom filter;topology-changing problem","","2","","17","","","11-13 Nov. 2008","","IEEE","IEEE Conference Publications"
"Primary User Emulation attack and their mitigation strategies: A survey","Naqvi, B.; Rashid, I.; Riaz, F.; Aslam, B.","Nat. Univ. of Sci. & Technol., Islamabad, Pakistan","Information Assurance (NCIA), 2013 2nd National Conference on","20140210","2013","","","95","100","Cognitive Radio emerged as a solution to solve the spectrum scarcity by allowing unlicensed user to exist with the licensed users of the network whenever the licensed users are in idle state. Cognitive radio since its inception has received a lot of importance as far as research is concerned, however security threats also emerged with this promising technology among which Primary User Emulation (PUE) attack is one. We cover an understanding of the PUE attack in this paper and then discuss existing solutions to mitigate it along with the limitations of the proposed solutions. In end we identify the need of solution to address a case that has not been addressed yet.","","978-1-4799-1287-2","","10.1109/NCIA.2013.6725331","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6725331","Cognitive Radio Network;Opportunistic access;Primary User Emulation Attack;Sensing","Ad hoc networks;Approximation methods;Bandwidth;Cognitive radio;Emulation;Radio transmitters;Sensors","cognitive radio;telecommunication security","PUE attack;cognitive radio;licensed users;primary user emulation attack;security threats;spectrum scarcity;unlicensed user","","1","","20","","","11-12 Dec. 2013","","IEEE","IEEE Conference Publications"
"Remote-to-Local attacks detection using incremental genetic algorithm","Ali, S.; Shahzad, W.; Khan, F.A.","Dept. of Comput. Sci., Nat. Univ. of Comput. & Emerging Sci., Pakistan","Internet Technology and Secured Transactions (ICITST), 2010 International Conference for","20101230","2010","","","1","6","Intrusion detection is one of the most challenging problems in network security. Detection of attacks on a particular network is not an easy task. Since recently, several machine learning, pattern classification and evolutionary techniques have been used on KDD99Cup dataset for detecting different kinds of intrusions that exist in the dataset. In this paper, we present a genetic algorithm (GA)-based technique for detecting Remote-to-Local (R-to-L) attacks in the network. The problems in other techniques with accuracy, false positive rates and speed have been resolved by using incremental GA in our proposed mechanism. We extract features from the dataset and build rules upon them to identify the attacks. The speed of training and testing is reduced by using less number of features in the incremental GA. The results of the R-to-L Intrusion Detection System (IDS) are rechecked for confirmation by using two more detection systems. The latter detection systems make sure that a particular record identified by the first IDS is really an R-to-L attack. The overall system's false positive rates are decreased and detection rates are increased. The model is verified on the dataset taken from KDD99Cup which is a standard dataset used for intrusion detection.","","978-1-4244-8862-9","978-0-9564263-6-9","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5678024","","","computer network security;feature extraction;genetic algorithms;learning (artificial intelligence)","IDS;R-to-L intrusion detection system;evolutionary techniques;feature extraction;incremental genetic algorithm;machine learning;network security;pattern classification;remote-to-local attack detection;standard dataset","","0","","18","","","8-11 Nov. 2010","","IEEE","IEEE Conference Publications"
"Research on computer immune system based on intrusion tolerance","Jiaomin Liu; Yongzheng Li; Yan Zhao; Lili Wang; Zhengyan Yang; Yongguo Wang","Coll. of Inf. Sci. & Eng., Univ. of Yanshan, Qinhuangdao, China","Future Information Technology and Management Engineering (FITME), 2010 International Conference on","20101203","2010","2","","200","203","When the body is intruded, there is a congenital immune process to find and reduce the damage as quickly as possible. This is an important recovery character for the biology immune system. A model that simulates the biology's congenital immunity is introduced in the computer immune system. It has two basal agents, Damage Detector Agent and Congenital Response Agent. Damage Detector Agent finds intrusion and releases dangerous signal to excited Congenital Response Agent. And it uses a Dynamic Semi-Active Replication technology to ensure the system can work. All this work can improve the system's robustness that it can supply the basic services when it's intruded.","","978-1-4244-9087-5","","10.1109/FITME.2010.5654816","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5654816","Agent;Computer immunity;Congenital immunity;Intrusion tolerance;Replica","Immune system;Skin;Switches","security of data","biology immune system;computer immune system;congenital immune process;congenital response agent;damage detector agent;dynamic semi-active replication technology;intrusion tolerance","","0","","7","","","9-10 Oct. 2010","","IEEE","IEEE Conference Publications"
